Año,Tipo de vaso,Total
2015,Chapoteo,2900
2015,Polivalente,4000
2015,Recreo,4000
2015,Enseñanza,750
2015,Natación,750
2015,Foso de saltos,100
2015,Hidromasaje,1500
2015,Terapéutico,150
2016,Chapoteo,3250
2016,Polivalente,5100
2016,Recreo,4250
2016,Enseñanza,750
2016,Natación,500
2016,Foso de saltos,100
2016,Hidromasaje,1550
2016,Terapéutico,150
2017,Chapoteo,3300
2017,Polivalente,5500
2017,Recreo,4500
2017,Enseñanza,765
2017,Natación,500
2017,Foso de saltos,50
2017,Hidromasaje,1600
2017,Terapéutico,160
2018,Chapoteo,3440
2018,Polivalente,5500
2018,Recreo,4750
2018,Enseñanza,750
2018,Natación,525
2018,Foso de saltos,115
2018,Hidromasaje,1600
2018,Terapéutico,160
2019,Chapoteo,3460
2019,Polivalente,5750
2019,Recreo,5000
2019,Enseñanza,765
2019,Natación,525
2019,Foso de saltos,115
2019,Hidromasaje,1700
2019,Terapéutico,160
2020,Chapoteo,3480
2020,Polivalente,6000
2020,Recreo,5250
2020,Enseñanza,790
2020,Natación,550
2020,Foso de saltos,150
2020,Hidromasaje,1800
2020,Terapéutico,170
2021,Chapoteo,3510
2021,Polivalente,6100
2021,Recreo,5500
2021,Enseñanza,800
2021,Natación,550
2021,Foso de saltos,150
2021,Hidromasaje,1900
2021,Terapéutico,170
2022,Chapoteo,3500
2022,Polivalente,6850
2022,Recreo,6000
2022,Enseñanza,800
2022,Natación,550
2022,Foso de saltos,150
2022,Hidromasaje,2000
2022,Terapéutico,175